instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.1;1.5;60;12345;6;1297;1305.37;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.1;1.5;60;435451;6;1297;1308.37;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.1;1.5;60;56162;6;1297;1307.8;;;Etiquetas de columna;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.1;1.5;60;68813;6;1297;1307.245;;;0.1;;0.2;;0.3;;0.4;;0.5;;0.6;;0.7;;0.8;;0.9;;Total Mín. de makespan;Total Promedio de makespan2
t_j20_m5.txt;0.1;1.5;60;368387;6;1297;1307.245;;Etiquetas de fila;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;Mín. de makespan;Promedio de makespan2;;
t_j20_m5.txt;0.1;1.5;60;687619;6;1297;1307.245;;t_j100_m10.txt;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444;5805;5835.444444
t_j20_m5.txt;0.1;1.5;60;354135;6;1297;1308.295;;t_j100_m20.txt;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889;6513;6543.888889
t_j20_m5.txt;0.1;1.5;60;839113;6;1297;1303.27;;t_j100_m5.txt;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222;5503;5507.222222
t_j20_m5.txt;0.1;1.5;60;123452;6;1297;1308.595;;t_j20_m10.txt;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667;1591;1608.666667
t_j20_m5.txt;0.2;1.5;60;12345;6;1297;1307.245;;t_j20_m20.txt;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556;2317;2344.555556
t_j20_m5.txt;0.2;1.5;60;435451;6;1297;1309.345;;t_j20_m5.txt;1297;1297;1297;1297;1297;1297;1278;1295.1;1297;1297;1297;1297;1297;1297;1297;1297;1297;1297;1278;1296.768293
t_j20_m5.txt;0.2;1.5;60;56162;6;1297;1307.8;;t_j200_m10.txt;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556;10927;10971.55556
t_j20_m5.txt;0.2;1.5;60;68813;6;1297;1307.245;;t_j200_m20.txt;11609;11656;11609;11656;11609;11656;11609;11656;11609;11656;11609;11656;11609;11656;11609;11656;11609;11656;11609;11656
t_j20_m5.txt;0.2;1.5;60;368387;6;1297;1307.245;;t_j50_m10.txt;3092;3109.444444;3092;3109.444444;3092;3109.444444;3092;3109.444444;3092;3109.444444;3092;3109.444444;3092;3109.444444;3092;3109.444444;3092;3109.444444;3092;3109.444444
t_j20_m5.txt;0.2;1.5;60;687619;6;1297;1307.245;;t_j50_m20.txt;4042;4055.111111;4042;4055.111111;4042;4055.111111;4042;4055.111111;4042;4055.111111;4042;4055.111111;4042;4055.111111;4042;4055.111111;4042;4055.111111;4042;4055.111111
t_j20_m5.txt;0.2;1.5;60;354135;6;1297;1308.295;;t_j50_m5.txt;2724;2730.888889;2724;2730.888889;2724;2730.888889;2724;2730.888889;2724;2730.888889;2724;2730.888889;2724;2730.888889;2724;2730.888889;2724;2730.888889;2724;2730.888889
t_j20_m5.txt;0.2;1.5;60;839113;6;1297;1303.27;;t_j500_m20.txt;26682;26782.66667;26682;26782.66667;26682;26782.66667;26682;26782.66667;26682;26782.66667;26682;26782.66667;26682;26782.66667;26682;26782.66667;26682;26782.66667;26682;26782.66667
t_j20_m5.txt;0.2;1.5;60;123452;6;1297;1308.595;;Total general;1297;6870.203704;1297;6870.203704;1297;6870.203704;1278;6818.899083;1297;6870.203704;1297;6870.203704;1297;6870.203704;1297;6870.203704;1297;6870.203704;1278;6864.456321
t_j20_m5.txt;0.3;1.5;60;12345;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.3;1.5;60;435451;6;1297;1309.345;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.3;1.5;60;56162;6;1297;1307.8;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.3;1.5;60;68813;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.3;1.5;60;368387;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.3;1.5;60;687619;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.3;1.5;60;354135;6;1297;1308.295;;Instancia;Beta;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.3;1.5;60;839113;6;1297;1303.27;;;0.1;;0.2;;0.3;;0.4;;0.5;;0.6;;0.7;;0.8;;0.9;;;
t_j20_m5.txt;0.3;1.5;60;123452;6;1297;1308.595;;;Mínimo;Promedio;Mínimo;Promedio;Mínimo;Promedio;Mínimo;Promedio;Mínimo;Promedio;Mínimo;Promedio;Mínimo;Promedio;Mínimo;Promedio;Mínimo;Promedio;;
t_j20_m5.txt;0.4;1.5;60;12345;6;1297;1307.245;;t_j20_m5.txt;1297;1297.00;1297;1297.00;1297;1297.00;1278;1295.10;1297;1297.00;1297;1297.00;1297;1297.00;1297;1297.00;1297;1297.00;;
t_j20_m5.txt;0.4;1.5;60;435451;6;1297;1309.345;;t_j20_m10.txt;1591;1608.67;1591;1608.67;1591;1608.67;1591;1608.67;1591;1608.67;1591;1608.67;1591;1608.67;1591;1608.67;1591;1608.67;;
t_j20_m5.txt;0.4;1.5;60;56162;6;1297;1307.8;;t_j20_m20.txt;2317;2344.56;2317;2344.56;2317;2344.56;2317;2344.56;2317;2344.56;2317;2344.56;2317;2344.56;2317;2344.56;2317;2344.56;;
t_j20_m5.txt;0.4;1.5;60;68813;6;1297;1307.245;;t_j50_m5.txt;2724;2730.89;2724;2730.89;2724;2730.89;2724;2730.89;2724;2730.89;2724;2730.89;2724;2730.89;2724;2730.89;2724;2730.89;;
t_j20_m5.txt;0.4;1.5;60;368387;6;1297;1307.245;;t_j50_m10.txt;3092;3109.44;3092;3109.44;3092;3109.44;3092;3109.44;3092;3109.44;3092;3109.44;3092;3109.44;3092;3109.44;3092;3109.44;;
t_j20_m5.txt;0.4;1.5;60;687619;6;1297;1307.245;;t_j50_m20.txt;4042;4055.11;4042;4055.11;4042;4055.11;4042;4055.11;4042;4055.11;4042;4055.11;4042;4055.11;4042;4055.11;4042;4055.11;;
t_j20_m5.txt;0.4;1.5;60;354135;6;1297;1308.295;;t_j100_m5.txt;5503;5507.22;5503;5507.22;5503;5507.22;5503;5507.22;5503;5507.22;5503;5507.22;5503;5507.22;5503;5507.22;5503;5507.22;;
t_j20_m5.txt;0.4;1.5;60;839113;6;1297;1303.27;;t_j100_m10.txt;5805;5835.44;5805;5835.44;5805;5835.44;5805;5835.44;5805;5835.44;5805;5835.44;5805;5835.44;5805;5835.44;5805;5835.44;;
t_j20_m5.txt;0.4;1.5;60;123452;6;1297;1308.595;;t_j100_m20.txt;6513;6543.89;6513;6543.89;6513;6543.89;6513;6543.89;6513;6543.89;6513;6543.89;6513;6543.89;6513;6543.89;6513;6543.89;;
t_j20_m5.txt;0.5;1.5;60;12345;6;1297;1307.245;;t_j200_m10.txt;10927;10971.56;10927;10971.56;10927;10971.56;10927;10971.56;10927;10971.56;10927;10971.56;10927;10971.56;10927;10971.56;10927;10971.56;;
t_j20_m5.txt;0.5;1.5;60;435451;6;1297;1309.345;;t_j200_m20.txt;11609;11656.00;11609;11656.00;11609;11656.00;11609;11656.00;11609;11656.00;11609;11656.00;11609;11656.00;11609;11656.00;11609;11656.00;;
t_j20_m5.txt;0.5;1.5;60;56162;6;1297;1307.8;;t_j500_m20.txt;26682;26782.67;26682;26782.67;26682;26782.67;26682;26782.67;26682;26782.67;26682;26782.67;26682;26782.67;26682;26782.67;26682;26782.67;;
t_j20_m5.txt;0.5;1.5;60;68813;6;1297;1307.245;;Total;6841.8;6870.2;6841.8;6870.2;6841.8;6870.2;6840.3;6870.0;6841.8;6870.2;6841.8;6870.2;6841.8;6870.2;6841.8;6870.2;6841.8;6870.2;;
t_j20_m5.txt;0.5;1.5;60;368387;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.5;1.5;60;687619;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.5;1.5;60;354135;6;1297;1308.295;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.5;1.5;60;839113;6;1297;1303.27;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.5;1.5;60;123452;6;1297;1308.595;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.6;1.5;60;12345;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.6;1.5;60;435451;6;1297;1309.345;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.6;1.5;60;56162;6;1297;1307.8;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.6;1.5;60;68813;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.6;1.5;60;368387;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.6;1.5;60;687619;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.6;1.5;60;354135;6;1297;1308.295;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.6;1.5;60;839113;6;1297;1303.27;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.6;1.5;60;123452;6;1297;1308.595;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.7;1.5;60;12345;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.7;1.5;60;435451;6;1297;1309.345;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.7;1.5;60;56162;6;1297;1307.8;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.7;1.5;60;68813;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.7;1.5;60;368387;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.7;1.5;60;687619;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.7;1.5;60;354135;6;1297;1308.295;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.7;1.5;60;839113;6;1297;1303.27;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.7;1.5;60;123452;6;1297;1308.595;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.8;1.5;60;12345;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.8;1.5;60;435451;6;1297;1309.345;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.8;1.5;60;56162;6;1297;1307.8;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.8;1.5;60;68813;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.8;1.5;60;368387;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.8;1.5;60;687619;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.8;1.5;60;354135;6;1297;1308.295;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.8;1.5;60;839113;6;1297;1303.27;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.8;1.5;60;123452;6;1297;1308.595;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.9;1.5;60;12345;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.9;1.5;60;435451;6;1297;1309.345;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.9;1.5;60;56162;6;1297;1307.8;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.9;1.5;60;68813;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.9;1.5;60;368387;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.9;1.5;60;687619;6;1297;1307.245;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.9;1.5;60;354135;6;1297;1308.295;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.9;1.5;60;839113;6;1297;1303.27;;;;;;;;;;;;;;;;;;;;;;
t_j20_m5.txt;0.9;1.5;60;123452;6;1297;1308.595;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.1;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.1;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.1;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.1;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.1;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.1;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.1;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.1;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.1;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.2;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.3;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.4;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.5;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.6;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.7;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;12345;6;1600;1636.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;435451;6;1591;1639.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;56162;6;1599;1617.96;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;68813;6;1620;1637.225;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.8;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
